ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
64 	Temple of Annapurna 		Satkhira 	Satkhira 	DofA
65 	Jamindar Bari Jame Mosque 		Satkhira 	Satkhira 	DofA
66 	Twelve Shiva Temple 		Satkhira 	Assasuni 	DofA
ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
1 	Dholhat Temple 		Thakurgaon 	Sadar 	DofA
2 	Jamalpur Jami Mosque 		Thakurgaon 	Sadar 	DofA
3 	Mithapukur Mosque 		Rangpur 	Mithapukur 	DofA
4 	Batashan Mound 		Rangpur 	???? 	???DofA
5 	Begum Rokya's House 		Rangpur 	Mithapukur 	DofA
6 	Fulchowki Mosque 		Rangpur 	Mithapukur 	DofA
7 	Dargah of Shah Ismail Gaji 		Rangpur 	Pirganj 	DofA
8 	Bagduar Mound 		Rangpur 	Mithapukur 	DofA
9 	Chaprakot Mound 		Rangpur 	Badarganj 	DofA
10 	Laldighi Nine domed Mosque & Tomb. 		Rangpur 	Badarganj 	DofA
11 	Tajhat Jamindar Bari 		Rangpur 	Sadar 	DofA
12 	Dariar Durga Mound 		Gaibandha 	Palashbari 	DofA
13 	Kataduar Dargah 		Rangpur 	Sadar 	DofA
14 	Bhitor Garh Fort? 	Yes 	Panchagarh 		FB
15 	Mirzapur Shahi Mosque 		Panchagarh 	Atowari 	DofA
16 	Imambara (Atowari) 		Panchagarh 	Atowari 	DofA
17 	Bodeshwari Temple 		Panchagar 	Boda 	DofA
18 	Golok Dham Temple 		Panchagarh 	Debiganj 	DofA
19 	Dharmapaler Garh 		Nilphamari 	Jaldhaka 	DofA
20 	Nidaria Mosque 		Lalmonirhat 	Sadar 	DofA
21 	Birat Rajar Bari & Mound 		Gaibandha 	Gabindaganj 	DofA
22 	Fort Mound 		Dinajpur 	Bangarh 	DofA
23 	Dargah of Shah Ata 		Dinajpur 	Gongarampur 	DofA
24 	Ancient Kazi Mosque 		Dinajpur 	Ulipur 	DofA
25 	Sardarpara Jami Mosque 		Kurigram 	Kurigram 	DofA
26 	Mekurtan Shahi Mosque 		Kurigram 	Rajarhat 	DofA
27 	Ramsagar Temple 		Dinajpur 	Sadar 	DofA
28 	Sura Mosque 		Dinajpur 	Ghoraghat 	DofA
29 	Ancient Mosque (Nayabad) 		Dinajpur 	Kaharol 	DofA
30 	Ancient Temple 		Dinajpur 	Kaharol 	DofA
31 	Kantanagar Temple 		Dinajpur 	Kaharol 	DofA
32 	Sita Kot Bihar 		Dinajpur 	Nababganj 	DofA
33 	Arun Dhap 		Dinajpur 	Nababganj 	DofA
34 	Chor Chakravorty's Mound 		Dinajpur 	Nababganj 	DofA
35 	Kanchir Hari 		Dinajpur 	Nababganj 	DofA
36 	Vishnu Temple at Chandipar 	Yes 	None 	Birampur 	Sazz
37 	Early Pala Hindu Temple, Belwa 	Yes 	None 	Ghoraghat 	Sazz
38 	Ghoraghat Fort 		Dinajpur 	Ghoraghat 	DofA
39 	Baro Paiker Garh 		Dinajpur 	Ghoraghat 	DofA
40 	Baigram Mandir 		None 	Hakimpur 	DofA???
41 	Gopalganj Temple 		Dinajpur 	Sadar 	DofA
42 	Mosque at Mahisantosh 		Dinajpur 	Patnitala 	DofA
43 	Panur Dhibi 	Yes 	None 	Ghoraghat 	Sazz
44 	Ancient Mosque near Begum Rokya's House 		Rangpur 	Mithapukur 	DofA
45 	Longrampart Kell or Fort 		Rangpur 	Mithapukur 	DofA
46 	Laldighi Temple 		Rangpur 	Badarganj 	DofA
47 	Mosque of Kadirbox Mandal 		Gaibandha 	Palashbari 	DofA
48 	Agradigun Mound 		Dinajpur 	Ghoraghat 	DofA
49 	Shiv Mandap 		Dinajpur 	Nababganj 	DofA
50 	Dhibar Pillar 		Dinajpur 	Patnitala 	DofA
51 	Badal Pillar with Pala inscription 		Dinajpur 	Mongalbari 	DofA
52 	Khalpara Ancient mound 		Panchagar 	Sadar 	DofA
53 	Morkdum Garh 		Panchagar 	Sadar 	DofA
54 	Enclosing Wall 		Panchagar 	Sadar 	DofA
55 	Model Bajar Garh 		Panchagar 	Sadar 	DofA
56 	Mehena Bhita Garh 		Panchagar 	Sadar 	DofA
ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
53 	Dubalhati Rajbari 	Yes 	None 		Sazz
54 	Dibor Dighi Stomvo 	Yes 	None 	Patnitola??? 	Sazz
56 	Gahon pirbabar Mazar 		None 	Patnitola??? 	Sazz
57 	Alta Dighi Dhamoirhat 		None 		Sazz
58 	Katabari Mazar Patnitola 		None 		Sazz
60 	Chistia Babar Mazar-Patnitola 		None 		Sazz
61 	Ragunath Geu Mondir 		None 	Mohadevpur,Paharpur 	Sazz
62 	Mohadevpur Razbari 		None 		Sazz
71 	Dhibar Pillar 		None 		???DofA
79 	3-dome mosque Tahakhana 	Yes 	None 	Shibganj 	Sazz
90 	Chamchika Mosque 	Yes 	None 		Sazz
91 	Kotowali Dorwaja 	Yes 	None 		Sazz
149 	Bagha Mosque 		Rajshahi 	Bagha 	DofA
150 	Kismat Maria Mosque and Bibir Ghar 		Rajshahi 	Durgapur 	DofA
151 	Kumarpur Mound of Ali Kuli Beg 		Rajshahi 	Godagari 	DofA
152 	Bara Anhik Temple 		Rajshahi 	Puthia 	DofA
153 	Hawa Khana 		Rajshahi 	Puthia 	DofA
154 	Putia Rajbari and adjacent Ahnik temple 		Rajshahi 	Puthia 	DofA
155 	Baro Gopal Temple 		Rajshahi 	Puthia 	DofA
156 	Choto Anhik Temple 		Rajshahi 	Puthia 	DofA
157 	Boro Siva Temple 		Rajshahi 	Puthia 	DofA
158 	Choto Gopal Temple 		Rajshahi 	Puthia 	DofA
159 	Jagadhatri Temple 		Rajshahi 	Puthia 	DofA
160 	Gopal Temple 		Rajshahi 	Puthia 	DofA
161 	Choto Siva Temple (Krishnapur) 		Rajshahi 	Puthia 	DofA
162 	Keshtha Khepar Math 		Rajshahi 	Puthia 	DofA
163 	Rath Temple 		Rajshahi 	Puthia 	DofA
164 	Dol Temple 		Rajshahi 	Puthia 	DofA
165 	Govinda Temple 		Rajshahi 	Puthia 	DofA
166 	Siva Temple 		Rajshahi 	Puthia 	DofA
167 	Biharail Mound 		Rajshahi 	Tanore 	DofA
168 	Dhanora Mound 		Rajshahi 	Tanore 	DofA
