195	Pancharatna Mandir (Bhisnu Temple)	None	None	Jhenaidah	Jhenaidah	None	DofA
196	House of Raja Sita Ram Roy	None	None	Magura	Mohammedpur	KH	DofA
197	Dasa Bhuja Temple	None	None	Magura	Mohammedpur	KH	DofA
198	Krishna Temple 	None	None	Magura	Mohammedpur	KH	DofA
199	Dol Mancha 	None	None	Magura	Mohammedpur	KH	DofA
200	Bhat Vita Mound	None	None	Magura	Magura	KH	DofA
201	Kuthibari of Tagore Shilaidah 	None	None	Kushtia	Kumarkhali	KHKU	DofA
202	Jhaudia Shahi Mosque 	None	None	Kushtia	Sadar	KHKU	DofA
203	Amjhupi Nilkuthi 	None	None	Meherpur	Sadar	KHME	DofA
204	Probajpur Shahi Mosque 	None	None	Jhenaidah	Kaliganj	KHST	DofA
205	Kachari Bari and Pond of Raja Sitaram	None	None	Magura	Mohammedpur	None	DofA
206	Khulna BL College	None	None	Khulna	Khulna City	KHKL	Mhbb
207	Prem Kanon	None	None	Khulna	Khulna City	KHKL	Mhbb
208	Jora Shiv Mandir	None	None	Khulna	Khulna City	KHKL	Mhbb
209	Keshab Chandra Shangskritik Toll	None	None	Khulna	Khulna City	KHKL	Mhbb
210	Monument	None	None	Khulna	Khulna City	KHKL	Mhbb
211	Bhuban Ghosh Residence	None	None	Khulna	Khulna City	KHKL	Mhbb
212	Shishu Biddyalay	None	None	Khulna	Khulna City	KHKL	Mhbb
213	Selim Hotel (Tourism Corporation)	None	None	Khulna	Khulna City	KHKL	Mhbb
214	Banga Khali pre-Cadet School	None	None	Khulna	Khulna City	KHKL	Mhbb
215	Dak Bangla (Rest House)	None	None	Khulna	Khulna City	KHKL	Mhbb
216	Ispahani Building	None	None	Khulna	Khulna City	KHKL	Mhbb
217	Kumud Ghosh Residence	None	None	Khulna	Khulna City	KHKL	Mhbb
218	Khan-e-Sabur Bhaban	None	None	Khulna	Khulna City	KHKL	Mhbb
219	Niharika Bhaban	None	None	Khulna	Khulna City	KHKL	Mhbb
220	Shailendranath Residence	None	None	Khulna	Khulna City	KHKL	Mhbb
221	Monomohan Maternity Hospital	None	None	Khulna	Khulna City	KHKL	Mhbb
222	Zilla Parishad Bhaban	None	None	Khulna	Khulna City	KHKL	Mhbb
223	Divisional Forest Office	None	None	Khulna	Khulna City	KHKL	Mhbb
224	Civil Surgeon Residence	None	None	Khulna	Khulna City	KHKL	Mhbb
225	Khulna Circuit House	None	None	Khulna	Khulna City	KHKL	Mhbb
